"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
319|"Miss Congeniality"|"An FBI agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event."|"Action, Comedy, Crime"|"325.jpg"|"Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen"|"USA"|"English, Russian, French, Spanish, Hawaiian"|"109 min"|2000
320|"What About Bob?"|"A successful psychotherapist loses his mind after one of his most dependent patients, a manipulative, obsessively compulsive narcissist, tracks him down during his family vacation."|"Comedy"|"326.jpg"|"Bill Murray, Richard Dreyfuss, Julie Hagerty, Charlie Korsmo"|"USA"|"English"|"99 min"|1991
321|"sex"|"A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her."|"Comedy, Drama, Romance"|"327.jpg"|"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon"|"USA"|"English"|"145 min"|2008
322|"The Big Lebowski"|"\The Dude\ Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."|"Comedy, Crime"|"328.jpg"|"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"|"USA, UK"|"English, German, Hebrew, Spanish"|"117 min"|1998
323|"The Ox-Bow Incident"|"When a posse catches up three men suspected of killing a local farmer, some of them become strongly divided on whether or not to lynch the men."|"Drama, Western"|"329.jpg"|"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn"|"USA"|"English, Spanish"|"75 min"|1943
324|"Easy Rider"|"Two counterculture bikers travel from Los Angeles to New Orleans in search of America."|"Adventure, Drama"|"330.jpg"|"Peter Fonda, Dennis Hopper, Antonio Mendoza, Phil Spector"|"USA"|"English, Spanish"|"95 min"|1969
325|"Husbands and Wives"|"When their best friends announce that they're separating, a professor and his wife discover the faults in their own marriage."|"Comedy, Drama, Romance"|"331.jpg"|"Nick Metropolis, Woody Allen, Mia Farrow, Sydney Pollack"|"USA"|"English"|"103 min"|1992
326|"Dead Man"|"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."|"Crime, Drama"|"332.jpg"|"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry"|"UK, USA"|"English"|"122 min"|1995
327|"Close Encounters of the Third Kind"|"After an encounter with U.F.O.s, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."|"Drama, Sci-Fi"|"333.jpg"|"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon"|"USA"|"English, French, Spanish, Hindi"|"137 min"|1977
328|"American Beauty"|"A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend."|"Drama"|"334.jpg"|"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"|"USA"|"English"|"122 min"|1999
329|"Poltergeist"|"A family's home is haunted by a host of ghosts."|"Fantasy, Horror"|"335.jpg"|"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne"|"USA"|"English"|"114 min"|1982
330|"A Raisin in the Sun"|"A substantial insurance payment could mean either financial salvation or personal ruin for a poor black family."|"Drama"|"336.jpg"|"Sidney Poitier, Claudia McNeil, Ruby Dee, Diana Sands"|"USA"|"English"|"128 min"|1961
331|"September"|"At a summer house in Vermont, neighbor Howard falls in love with Lane, who's in a relationship with Peter, who's falling for Stephanie, who's married with children."|"Drama"|"337.jpg"|"Denholm Elliott, Dianne Wiest, Mia Farrow, Elaine Stritch"|"USA"|"French, English"|"82 min"|1987
332|"The Third Man"|"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."|"Film-Noir, Mystery, Thriller"|"338.jpg"|"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard"|"UK"|"English, German, Russian"|"93 min"|1949
333|"Pollock"|"A film about the life and career of the American painter, Jackson Pollock."|"Biography, Drama"|"339.jpg"|"Ed Harris, Robert Knott, Molly Regan, Marcia Gay Harden"|"USA"|"English"|"122 min"|2000
