"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
1|"Indecent Proposal"|"A Millionaire offers a $1,000,000 to a young married lovely couple for a night with the wife."|"Drama, Romance"|"2.jpg"|"Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel"|"USA"|"English"|"117 min"|1993
2|"Runaway Bride"|"A reporter is assigned to write a story about a woman who has left a string of fiances at the altar."|"Comedy, Romance"|"3.jpg"|"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo"|"USA"|"English"|"116 min"|1999
3|"Swiss Family Robinson"|"A Swiss family must survive being shipwrecked on a deserted island."|"Adventure, Family"|"4.jpg"|"John Mills, Dorothy McGuire, James MacArthur, Janet Munro"|"USA"|"English"|"126 min"|1960
4|"The Mexican"|"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways."|"Adventure, Comedy, Crime"|"5.jpg"|"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons"|"USA"|"English, Spanish"|"123 min"|2001
5|"Maid in Manhattan"|"A senatorial candidate falls for a hotel maid, thinking she is a socialite when he sees her trying on a wealthy woman's dress."|"Comedy, Drama, Romance"|"6.jpg"|"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci"|"USA"|"English, French, Spanish"|"105 min"|2002
6|"Brazil"|"A bureaucrat in a retro-future world tries to correct an administrative error and himself becomes an enemy of the state."|"Drama, Sci-Fi"|"7.jpg"|"Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm"|"UK"|"English"|"132 min"|1985
7|"Forrest Gump"|"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."|"Drama, Romance"|"8.jpg"|"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"|"USA"|"English"|"142 min"|1994
8|"It Happened One Night"|"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story."|"Comedy, Romance"|"9.jpg"|"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"|"USA"|"English"|"105 min"|1934
9|"Airplane!"|"A man afraid to fly must ensure that a plane lands safely after the pilots become sick."|"Comedy"|"10.jpg"|"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty"|"USA"|"English"|"88 min"|1980
10|"The Wedding Planner"|"Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom."|"Comedy, Romance"|"11.jpg"|"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers"|"Germany, USA"|"English, Italian"|"103 min"|2001
11|"A League of Their Own"|"Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry."|"Comedy, Drama, Sport"|"12.jpg"|"Tom Hanks, Geena Davis, Lori Petty, Madonna"|"USA"|"English"|"128 min"|1992
12|"Swordfish"|"A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him."|"Action, Crime, Thriller"|"13.jpg"|"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle"|"USA"|"English, German"|"99 min"|2001
13|"Indiana Jones and the Temple of Doom"|"A skirmish in Shanghai puts archaeologist Indiana Jones, his partner Short Round and singer Willie Scott crossing paths with an Indian village desperate to reclaim a rock stolen by a secret cult beneath the catacombs of an ancient palace."|"Action, Adventure"|"14.jpg"|"Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri"|"USA"|"English, Sinhalese"|"118 min"|1984
14|"A Beautiful Mind"|"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."|"Biography, Drama"|"15.jpg"|"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"|"USA"|"English"|"135 min"|2001
15|"The Sound of Music"|"A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower."|"Biography, Drama, Family"|"16.jpg"|"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"|"USA"|"English, German"|"174 min"|1965
16|"Kate & Leopold"|"Kate and her actor brother live in N.Y. in the 21st Century. Her ex-boyfriend, Stuart, lives above her apartment. Stuart finds a space near the Brooklyn Bridge where there is a gap in time...."|"Comedy, Fantasy, Romance"|"17.jpg"|"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer"|"USA"|"English, French"|"118 min"|2001
17|"A Charlie Brown Christmas"|"Repelled by the commercialism he sees around him, Charlie Brown tries to find the true meaning of Christmas."|"Animation, Comedy, Family"|"18.jpg"|"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez"|"USA"|"English"|"25 min"|1965
18|"The Rock"|"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."|"Action, Adventure, Thriller"|"19.jpg"|"Sean Connery, Nicolas Cage, Ed Harris, John Spencer"|"USA"|"English"|"136 min"|1996
19|"Coming to America"|"An African prince goes to Queens, New York City to find a wife whom he can respect for her intelligence and will."|"Comedy, Romance"|"20.jpg"|"Eddie Murphy, Arsenio Hall, James Earl Jones, John Amos"|"USA"|"English"|"116 min"|1988
20|"Better Off Dead"|"A teenager has to deal with his girlfriend dumping him among family crises, homicidal paper boys, and a rival skier."|"Comedy, Romance"|"21.jpg"|"John Cusack, David Ogden Stiers, Kim Darby, Demian Slade"|"USA"|"English"|"97 min"|1985
21|"Mystic River"|"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy."|"Crime, Drama, Mystery"|"22.jpg"|"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne"|"USA, Australia"|"English"|"138 min"|2003
22|"Double Jeopardy"|"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."|"Crime, Mystery, Thriller"|"23.jpg"|"Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau"|"USA, Germany, Canada"|"English"|"105 min"|1999
23|"Men in Black"|"A police officer joins a secret organization that polices and monitors extra terrestrial interactions on planet earth."|"Adventure, Comedy, Family"|"24.jpg"|"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio"|"USA"|"English, Spanish"|"98 min"|1997
24|"Two Weeks Notice"|"A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him."|"Comedy, Romance"|"25.jpg"|"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey"|"USA, Australia"|"English"|"101 min"|2002
25|"Austin Powers: International Man of Mystery"|"A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place."|"Comedy, Crime"|"26.jpg"|"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers"|"USA, Germany"|"English"|"89 min"|1997
26|"Chicago"|"Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago."|"Comedy, Crime, Musical"|"27.jpg"|"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger"|"USA, Germany, Canada"|"English, Hungarian"|"113 min"|2002
27|"Terms of Endearment"|"Follows hard-to-please Aurora looking for love and her daughter's family problems."|"Comedy, Drama"|"28.jpg"|"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito"|"USA"|"English"|"132 min"|1983
28|"The General's Daughter"|"When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point."|"Drama, Mystery, Thriller"|"29.jpg"|"John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton"|"USA, Germany"|"English"|"116 min"|1999
29|"A Fish Called Wanda"|"In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot."|"Comedy, Crime"|"30.jpg"|"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin"|"USA, UK"|"English, Italian, Russian, French"|"108 min"|1988
30|"Life Is Beautiful"|"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."|"Comedy, Drama, Romance"|"31.jpg"|"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"|"Italy"|"German, English, Italian"|"116 min"|1997
31|"Air Force One"|"Hijackers seize the plane carrying the President of the United States and his family, but he - an ex-soldier - works from hiding to defeat them."|"Action, Adventure, Drama"|"32.jpg"|"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"|"USA, Germany"|"English, Russian"|"124 min"|1997
32|"The Game"|"During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians."|"Biography, Drama, Thriller"|"33.jpg"|"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear"|"UK, USA"|"English, German"|"114 min"|2014
33|"Raising Arizona"|"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintupelets, their lives get more complicated than they anticipated."|"Comedy, Crime, Drama"|"34.jpg"|"Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman"|"USA"|"English"|"94 min"|1987
34|"Spider-Man"|"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."|"Action, Adventure, Fantasy"|"35.jpg"|"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco"|"USA"|"English"|"121 min"|2002
35|"How to Lose a Guy in 10 Days"|"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the \How To\ beat for \Composure\ magazine and is assigned to write an article on \How to Lose a Guy in 10 days.\ They meet in a bar shortly after the bet is made."|"Comedy, Romance"|"36.jpg"|"Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse"|"USA, Germany"|"English"|"116 min"|2003
36|"You've Got Mail"|"Two business rivals who hate each other in the office fall in love over the Internet."|"Comedy, Drama, Romance"|"37.jpg"|"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey"|"USA"|"English"|"119 min"|1998
37|"Die Hard With a Vengeance"|"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."|"Action, Adventure, Thriller"|"38.jpg"|"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"|"USA"|"English, German, Romanian"|"128 min"|1995
38|"Bend It Like Beckham"|"The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team (soccer in America)."|"Comedy, Drama, Romance"|"39.jpg"|"Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher"|"UK, Germany, USA"|"English, Panjabi, Hindi, German"|"112 min"|2002
39|"Austin Powers: The Spy Who Shagged Me"|"Dr. Evil is back...and has invented a new time machine that allows him to go back to the 60's and steal Austin Powers's mojo, inadvertently leaving him \shagless\."|"Action, Adventure, Comedy"|"40.jpg"|"Mike Myers, Heather Graham, Michael York, Robert Wagner"|"USA"|"English, German"|"95 min"|1999
40|"The Sweetest Thing"|"A girl finds she is forced to educate herself on the etiquette of wooing the opposite sex when she finally meets Mr. Right."|"Comedy, Romance"|"41.jpg"|"Lillian Adams, Herbert W. Ankrom, Bryan Anthony, Christina Applegate"|"USA"|"English"|"88 min"|2002
41|"Rivers and Tides"|"Portrait of Andy Goldsworthy, an artist whose specialty is ephemeral sculptures made from elements of nature."|"Documentary"|"42.jpg"|"Andy Goldsworthy"|"Germany, Finland, UK, Canada"|"English"|"90 min"|2001
42|"Dead Poets Society"|"English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings."|"Comedy, Drama"|"43.jpg"|"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"|"USA"|"English"|"128 min"|1989
43|"Notting Hill"|"The life of a simple bookshop owner changes when he meets the most famous film star in the world."|"Comedy, Drama, Romance"|"44.jpg"|"Julia Roberts, Hugh Grant, Richard McCabe, Rhys Ifans"|"UK, USA"|"English, Spanish"|"124 min"|1999
44|"Dangerous Liaisons"|"A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman."|"Drama, Romance"|"45.jpg"|"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz"|"USA, UK"|"English"|"119 min"|1988
45|"Sweet Home Alabama"|"A young woman who's reinvented herself as a New York socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation."|"Comedy, Romance"|"46.jpg"|"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen"|"USA"|"English"|"108 min"|2002
46|"Real Women Have Curves"|"This is the story of Ana, a first generation Mexican-American teenager on the verge of becoming a woman. She lives in the predominately Latino community of East Los Angeles. Freshly ..."|"Comedy, Drama"|"47.jpg"|"America Ferrera, Lupe Ontiveros, Ingrid Oliu, George Lopez"|"USA"|"English, Spanish"|"90 min"|2002
47|"Big"|"\The Dude\ Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."|"Comedy, Crime"|"48.jpg"|"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"|"USA, UK"|"English, German, Hebrew, Spanish"|"117 min"|1998
48|"Amadeus"|"The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum."|"Biography, Drama, History"|"49.jpg"|"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"|"USA, France"|"English, Italian, Latin, German"|"160 min"|1984
49|"Citizen Ruth"|"An irresponsible, drug-addicted, recently impregnated woman finds herself in the middle of an abortion debate when both parties attempt to sway her to their respective sides."|"Comedy, Drama"|"50.jpg"|"Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place"|"USA"|"English"|"106 min"|1996
50|"Blue Crush"|"As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player."|"Drama, Romance, Sport"|"51.jpg"|"Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake"|"USA, Germany"|"English"|"104 min"|2002
51|"Life as a House"|"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father."|"Drama"|"52.jpg"|"Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone"|"USA"|"English"|"125 min"|2001
52|"The Graduate"|"A disillusioned college graduate finds himself torn between his older lover and her daughter."|"Comedy, Drama, Romance"|"53.jpg"|"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels"|"USA"|"English"|"106 min"|1967
53|"One Night at McCool's"|"Every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night."|"Comedy, Crime"|"54.jpg"|"Matt Dillon, Mary Jo Smith, Michael Douglas, Paul Reiser"|"USA"|"English, Spanish"|"93 min"|2001
54|"13 Going on 30"|"A 13 year old girl plays a game on her 13th birthday and wakes up the next day as a 30 year old woman."|"Comedy, Fantasy, Romance"|"55.jpg"|"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis"|"USA"|"Portuguese, English"|"98 min"|2004
55|"Return to Me"|"A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart."|"Comedy, Drama, Romance"|"56.jpg"|"David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia"|"USA"|"English, Italian"|"115 min"|2000
56|"Vertigo"|"A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."|"Mystery, Romance, Thriller"|"57.jpg"|"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"|"USA"|"English"|"128 min"|1958
57|"Laws of Attraction"|"Amidst a sea of litigation, two New York City divorce lawyers find love."|"Comedy, Romance"|"58.jpg"|"Pierce Brosnan, Julianne Moore, Michael Sheen, Parker Posey"|"Ireland, UK, Germany"|"English"|"90 min"|2004
58|"Winged Migration"|"Documentary on the migratory patterns of birds, shot over the course of three years on all seven continents."|"Documentary"|"59.jpg"|"Philippe Labro, Jacques Perrin"|"France, Italy, Germany, Spain, Switzerland"|"French, English"|"89 min"|2001
59|"Dirty Harry"|"When a mad man calling himself 'the Scorpio Killer' menaces the city, tough as nails San Francisco Police Inspector Harry Callahan is assigned to track down and ferret out the crazed psychopath."|"Action, Crime, Thriller"|"60.jpg"|"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon"|"USA"|"English"|"102 min"|1971
60|"Defending Your Life"|"In an afterlife way station resembling a block of hotels, the lives of the recently-deceased are examined in a court-like setting."|"Comedy, Drama, Fantasy"|"61.jpg"|"Albert Brooks, Michael Durrell, James Eckhouse, Gary Beach"|"USA"|"English, Japanese"|"112 min"|1991
61|"Sweet and Lowdown"|"In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman."|"Comedy, Drama, Music"|"62.jpg"|"Woody Allen, Ben Duncan, Daniel Okrent, Dan Moran"|"USA"|"English"|"95 min"|1999
62|"Titanic"|"A seventeen-year-old aristocrat falls in love with a kind, but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."|"Drama, Romance"|"63.jpg"|"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"|"USA"|"English"|"194 min"|1997
63|"Bandits"|"Two bank robbers fall in love with the girl they've kidnapped."|"Comedy, Crime, Drama"|"64.jpg"|"Bruce Willis, Billy Bob Thornton, Cate Blanchett, Troy Garity"|"USA"|"English"|"123 min"|2001
64|"Meet the Parents"|"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."|"Comedy"|"65.jpg"|"Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner"|"USA"|"English, Thai, French, Hebrew, Spanish"|"108 min"|2000
65|"Saving Private Ryan"|"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."|"Action, Drama, War"|"66.jpg"|"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper"|"USA"|"Czech, English, German, French"|"169 min"|1998
66|"Legally Blonde"|"When a blonde sorority queen is dumped by her boyfriend, she decides to follow him to law school to get him back and, once there, learns she has more legal savvy than she ever imagined."|"Comedy, Romance"|"67.jpg"|"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"|"USA"|"English"|"96 min"|2001
67|"Tootsie"|"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."|"Comedy, Drama, Romance"|"68.jpg"|"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman"|"USA"|"English"|"116 min"|1982
68|"Ghostbusters"|"Three former parapsychology professors set up shop as a unique ghost removal service."|"Adventure, Comedy, Fantasy"|"69.jpg"|"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"|"USA"|"English"|"105 min"|1984
69|"Harry Potter and the Sorcerer's Stone"|"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry."|"Adventure, Family, Fantasy"|"70.jpg"|"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets"|"UK, USA"|"English"|"152 min"|2001
70|"Eternal Sunshine of the Spotless Mind"|"When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with."|"Drama, Romance, Sci-Fi"|"71.jpg"|"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood"|"USA"|"English"|"108 min"|2004
71|"Pirates of the Caribbean: The Curse of the Black Pearl"|"Blacksmith Will Turner teams up with eccentric pirate \Captain\ Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."|"Action, Adventure, Fantasy"|"72.jpg"|"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"|"USA"|"English"|"143 min"|2003
72|"The Story of Us"|"Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage."|"Comedy, Drama, Romance"|"73.jpg"|"Bruce Willis, Michelle Pfeiffer, Colleen Rennison, Jake Sandvig"|"USA"|"English, Italian"|"95 min"|1999
73|"What Women Want"|"After an accident, a chauvenistic executive gains the ability to hear what women are really thinking."|"Comedy, Fantasy, Romance"|"74.jpg"|"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda"|"USA"|"English, French"|"127 min"|2000
74|"Bad Boys"|"Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida."|"Action, Comedy, Crime"|"75.jpg"|"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union"|"USA"|"English, Spanish"|"147 min"|2003
75|"On Golden Pond"|"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms."|"Drama"|"76.jpg"|"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon"|"UK, USA"|"English"|"109 min"|1981
76|"America's Sweethearts"|"A movie publicist deals with the messy public split of his movie's co-stars while keeping reporters at bay while a reclusive director holds the film's print hostage."|"Comedy, Romance"|"77.jpg"|"Julia Roberts, Billy Crystal, Catherine Zeta-Jones, John Cusack"|"USA"|"English"|"102 min"|2001
77|"The Emperor's New Groove"|"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."|"Animation, Adventure, Comedy"|"79.jpg"|"David Spade, John Goodman, Eartha Kitt, Patrick Warburton"|"USA"|"English"|"78 min"|2000
78|"Parenthood"|"The Buckman family is a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."|"Comedy, Drama"|"80.jpg"|"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards"|"USA"|"English"|"124 min"|1989
79|"The Silence of the Lambs"|"A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims."|"Crime, Drama, Horror"|"81.jpg"|"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz"|"USA"|"English"|"118 min"|1991
80|"The Ladykillers"|"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady."|"Comedy, Crime, Thriller"|"82.jpg"|"Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons"|"USA"|"English, Vietnamese"|"104 min"|2004
81|"Something's Gotta Give"|"A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age."|"Comedy, Drama, Romance"|"83.jpg"|"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand"|"USA"|"French, English"|"128 min"|2003
82|"Lethal Weapon 3"|"Martin Riggs and Roger Murtaugh pursue an arms dealer who is a former LAPD officer."|"Action, Crime, Thriller"|"84.jpg"|"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo"|"USA"|"English"|"118 min"|1992
83|"Patch Adams"|"The true story of a heroic man, Hunter Patch Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."|"Biography, Comedy, Drama"|"85.jpg"|"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman"|"USA"|"English"|"115 min"|1998
84|"The Sixth Sense"|"A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist."|"Drama, Mystery, Thriller"|"86.jpg"|"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"|"USA"|"English, Latin, Spanish"|"107 min"|1999
85|"A Nightmare on Elm Street"|"Several people are hunted by a cruel serial killer who kills his victims in their dreams. While the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep."|"Horror"|"87.jpg"|"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss"|"USA"|"English"|"91 min"|1984
86|"The Italian Job"|"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."|"Action, Crime, Thriller"|"88.jpg"|"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham"|"USA, France, UK"|"English, Russian, Italian"|"111 min"|2003
87|"Steel Magnolias"|"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold."|"Comedy, Drama, Romance"|"89.jpg"|"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah"|"USA"|"English"|"117 min"|1989
88|"Rain Man"|"Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country."|"Adventure, Drama"|"90.jpg"|"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"|"USA"|"English, Italian"|"133 min"|1988
89|"Erin Brockovich"|"An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply."|"Biography, Drama"|"91.jpg"|"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney"|"USA"|"English"|"131 min"|2000
90|"Bringing Down the House"|"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to be with him, and proceeds to wreak havoc on his middle-class life."|"Comedy"|"92.jpg"|"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright"|"USA"|"English"|"105 min"|2003
91|"Out of Africa"|"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."|"Biography, Drama, Romance"|"93.jpg"|"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen"|"USA, UK"|"Swahili, English"|"161 min"|1985
92|"Under the Tuscan Sun"|"A writer impulsively buys a villa in Tuscany in order to change her life."|"Comedy, Drama, Romance"|"94.jpg"|"Diane Lane, Sandra Oh, Lindsay Duncan, Raoul Bova"|"USA, Italy"|"German, English, Italian, Polish, French, Spanish"|"113 min"|2003
93|"Dave Matthews Band: Listener Supported"|"\Listener Supported\ documents the September 11, 1999, concert at the Continental Airlines Arena in East Rutherford, New Jersey, given by the Dave Matthews Band. The concert includes such ..."|"Documentary, Music"|"95.jpg"|"Carter Beauford, Stefan Lessard, Dave Matthews, LeRoi Moore"|"USA"|"English"|"141 min"|1999
94|"The Santa Clause"|"When a man inadvertantly kills Santa on Christmas Eve, he finds himself magically recruited to take his place."|"Comedy, Drama, Family"|"96.jpg"|"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd"|"USA"|"English, Spanish"|"97 min"|1994
95|"Rocky"|"Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect."|"Drama, Sport"|"97.jpg"|"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers"|"USA"|"English"|"120 min"|1976
96|"Raising Helen"|"After her sister and brother-in-law die in a car accident, a young woman becomes the guardian of their three children."|"Comedy, Drama, Romance"|"98.jpg"|"Kate Hudson, John Corbett, Joan Cusack, Hayden Panettiere"|"USA"|"English"|"119 min"|2004
97|"Saturday Night Live: The Best of Mike Myers"|"Mike Myers Is a genius at creating original comic characters, and it all started at Saturday Night Live. Party on with Wayne Campbell on Wayne's World, Dieter on Sprockets, Linda Richman on..."|"Documentary, Comedy"|"99.jpg"|"Mike Myers"|"USA"|"English"|"84 min"|1998
98|"Mrs. Winterbourne"|"Connie Doyle is eighteen and pregnant when her boyfriend kicks her out. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The ..."|"Comedy, Drama, Romance"|"100.jpg"|"Shirley MacLaine, Ricki Lake, Brendan Fraser, Miguel Sandoval"|"USA"|"English"|"105 min"|1996
